,MM_Stage2Filtered,RSSCORE,RSSCORE_D1,RSSCORE_D5,RSSCORE_D10,RSSCORE_D15,RSSCORE_D20,SCTRSCORE,SCTRSCORE_D1,SCTRSCORE_D5,SCTRSCORE_D10,SCTRSCORE_D15,SCTRSCORE_D20,MRSQUARE,MRSQUARE_D1,MRSQUARE_D5,MRSQUARE_D10,MRSQUARE_D15,MRSQUARE_D20,RSSCORE_SECTOR_RANK,SCTRSCORE_SECTOR_RANK,MRSQUARE_SECTOR_RANK,TR.GICSINDUSTRY,TR.GICSINDUSTRYGROUP,TR.GICSSECTOR,RSSCORE_SECTOR_MEDIAN,SCTRSCORE_SECTOR_MEDIAN,MRSQUARE_SECTOR_MEDIAN,RSSCORE_SECTOR_BEST,SCTRSCORE_SECTOR_BEST,MRSQUARE_SECTOR_BEST
DRQ,False,88.88888888888889,-0.6226053639846754,0.5747126436781542,-5.172413793103459,-5.699233716475106,-7.567049808429118,80.77,-4.1200000000000045,-10.290000000000006,-13.25,-12.439999999999998,-16.650000000000006,95.5,-0.5999999999999943,-1.7000000000000028,-2.0999999999999943,-2.799999999999997,-3.700000000000003,67.0,69.0,32.0,Energy Equipment & Services,Energy,Energy,95.06704980842912,93.83,91.6,CRK,NEX,TELL
EHC,False,66.66666666666666,8.620689655172406,10.68007662835248,-3.927203065134108,10.105363984674312,8.716475095785434,84.22,8.420000000000002,20.47,5.019999999999996,9.420000000000002,18.61,83.89999999999999,-0.1000000000000085,-1.7000000000000028,-2.200000000000003,-1.5,0.7999999999999972,81.0,34.0,56.0,Health Care Providers & Services,Health Care Equipment & Services,Health Care,37.78735632183909,25.44,56.39999999999999,LNTH,LNTH,LNTH
ENSG,False,74.09003831417624,2.4425287356321803,8.141762452107272,2.155172413793096,-3.352490421455954,-1.293103448275872,71.83,3.1099999999999994,7.319999999999993,-4.930000000000007,-11.960000000000008,-15.930000000000009,80.7,-0.7999999999999972,-3.6999999999999886,-5.700000000000003,-7.299999999999997,-2.799999999999997,62.0,59.0,69.5,Health Care Providers & Services,Health Care Equipment & Services,Health Care,37.78735632183909,25.44,56.39999999999999,LNTH,LNTH,LNTH
ENV,False,82.90229885057471,5.076628352490417,4.5498084291187695,6.704980842911866,12.45210727969348,37.78735632183908,80.34,5.829999999999998,5.640000000000001,3.969999999999999,8.700000000000003,39.400000000000006,87.6,1.1999999999999886,6.099999999999994,12.699999999999989,23.999999999999996,30.8,34.0,32.0,20.5,Software,Software & Services,Information Technology,44.6360153256705,36.585,45.1,POLY,MGI,POLY
ESTE,True,94.87547892720306,-0.2394636015325772,0.4310344827586192,1.3409961685823788,1.580459770114942,8.333333333333329,93.83,-1.9099999999999968,-2.9200000000000017,0.289999999999992,2.0600000000000023,19.8,74.2,1.1000000000000083,6.099999999999994,16.400000000000006,20.4,11.1,49.0,48.0,76.0,"Oil, Gas & Consumable Fuels",Energy,Energy,95.06704980842912,93.83,91.6,CRK,NEX,TELL
EXEL,False,89.79885057471265,1.2931034482758577,2.0593869731800822,2.7777777777777857,2.2988505747126453,5.938697318007655,91.49,1.0999999999999943,11.670000000000002,6.459999999999994,9.28,9.759999999999993,94.4,-0.1000000000000085,0.9999999999999858,0.0,0.2000000000000028,0.3999999999999915,24.0,18.0,18.0,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",Health Care,37.78735632183909,25.44,56.39999999999999,LNTH,LNTH,LNTH
EXLS,True,88.12260536398468,-2.586206896551729,-3.879310344827587,-1.9636015325670544,-3.3045977011494188,-0.6704980842911965,79.87,-6.829999999999998,-10.519999999999996,-8.649999999999991,-9.319999999999991,-8.799999999999997,94.2,0.0,2.6999999999999886,9.299999999999995,15.09999999999998,26.499999999999982,22.0,36.0,9.0,IT Services,Software & Services,Information Technology,44.6360153256705,36.585,45.1,POLY,MGI,POLY
FCFS,False,77.4904214559387,10.10536398467434,24.13793103448277,27.4904214559387,31.992337164750964,37.73946360153257,87.23,9.180000000000009,38.64,31.370000000000005,40.510000000000005,57.010000000000005,60.9,2.3999999999999986,6.599999999999994,12.4,15.599999999999994,15.4,39.0,16.0,73.0,Consumer Finance,Diversified Financials,Financials,45.54597701149425,47.06,29.6,AMRK,BRK.B,FHN
FCN,False,83.5249042145594,4.549808429118798,-1.6762452107279555,4.501915708812277,5.268199233716487,11.637931034482776,85.56,7.799999999999997,-5.349999999999994,1.5799999999999983,3.1099999999999994,7.560000000000002,84.7,0.6000000000000085,4.399999999999992,9.0,11.800000000000011,17.799999999999997,43.0,34.0,46.5,Professional Services,Commercial  & Professional Services,Industrials,51.053639846743295,49.88,47.7,CAR,CNR,AVAV
FLT,False,70.01915708812261,0.9578544061302664,5.890804597701148,7.136015325670499,20.40229885057472,22.22222222222223,80.68,-2.289999999999992,11.100000000000009,12.670000000000002,17.17000000000001,25.35000000000001,75.0,0.9000000000000057,2.1000000000000085,5.400000000000006,9.0,7.5,61.0,29.0,43.0,IT Services,Software & Services,Information Technology,44.6360153256705,36.585,45.1,POLY,MGI,POLY
FPI,True,93.19923371647508,0.0478927203065069,-0.3831417624521123,4.741379310344826,8.38122605363985,10.82375478927203,95.93,0.7600000000000051,0.0400000000000062,5.590000000000003,6.930000000000007,6.550000000000011,96.9,0.0999999999999943,1.0999999999999943,4.499999999999986,6.199999999999989,8.599999999999994,7.0,4.0,1.0,Equity Real Estate Investment Trusts (REITs),Real Estate,Real Estate,69.15708812260536,68.24,71.15,APTS,APTS,FPI
FRO,True,92.62452107279694,2.8735632183907995,2.8735632183907995,1.580459770114942,7.519157088122611,10.727969348659002,86.37,6.219999999999999,3.6300000000000097,2.200000000000003,10.230000000000004,21.570000000000007,88.1,-0.5,-4.300000000000011,-5.700000000000003,-4.900000000000006,-4.400000000000006,62.0,61.0,54.0,"Oil, Gas & Consumable Fuels",Energy,Energy,95.06704980842912,93.83,91.6,CRK,NEX,TELL
